,parent,left_child,right_child,distance,size
96,10555,3462.0,8066.0,0.003211554935297668,2.0
97,10556,3721.0,10552.0,0.0032344336494273167,13.0
98,10557,4027.0,10555.0,0.0032628287345055217,3.0
99,10558,5973.0,10532.0,0.003271560247717431,3.0
100,10559,7433.0,10512.0,0.0032782013281774636,8.0
101,10560,900.0,3268.0,0.0033045304970499723,2.0
102,10561,3929.0,10560.0,0.0033045304970499723,3.0
103,10562,3363.0,10558.0,0.003309763502997698,4.0
104,10563,8938.0,10540.0,0.0033600097144011556,4.0
105,10564,767.0,10561.0,0.0033838091691158617,4.0
106,10565,9279.0,10541.0,0.003390084633250699,3.0
107,10566,10564.0,10556.0,0.0034713003653670106,17.0
108,10567,772.0,10566.0,0.0035005083134229302,18.0
109,10568,3504.0,10567.0,0.0035005083134229302,19.0
110,10569,10111.0,10562.0,0.0035182653479813157,5.0
111,10570,8727.0,10569.0,0.003532603184659407,6.0
112,10571,584.0,10570.0,0.0035355604859228893,7.0
113,10572,6244.0,10554.0,0.0035550238962702247,5.0
114,10573,10572.0,10490.0,0.0035550238962702247,16.0
115,10574,5009.0,10565.0,0.003558924243001138,4.0
116,10575,3806.0,10546.0,0.0035644764386068336,9.0
117,10576,9792.0,10563.0,0.0035664027226131197,5.0
118,10577,967.0,10568.0,0.0035904998313524587,20.0
119,10578,566.0,10576.0,0.0036011168067748922,6.0
120,10579,9739.0,10571.0,0.0036557424102916314,8.0
121,10580,9163.0,10579.0,0.003672826131476866,9.0
122,10581,9384.0,10551.0,0.0037033354898586344,4.0
123,10582,7225.0,10543.0,0.0037306783620985906,3.0
124,10583,3934.0,10577.0,0.003771571046163538,21.0
125,10584,8126.0,10583.0,0.003771571046163538,22.0
126,10585,7803.0,10557.0,0.0037829145597088024,4.0
127,10586,10178.0,10585.0,0.0037829145597088024,5.0
128,10587,1761.0,10575.0,0.003795616261316646,10.0
129,10588,7669.0,10587.0,0.003795616261316646,11.0
130,10589,1825.0,10588.0,0.0038442504047989747,12.0
131,10590,613.0,10580.0,0.0038747506982149517,10.0
132,10591,4946.0,10573.0,0.003919024813714882,17.0
133,10592,8815.0,10165.0,0.003957020709916603,2.0
134,10593,3899.0,2893.0,0.003971943733557147,2.0
135,10594,8083.0,10574.0,0.003976509398709749,5.0
136,10595,9314.0,10581.0,0.004017277781973315,5.0
137,10596,10267.0,10595.0,0.004017277781973315,6.0
138,10597,4962.0,10553.0,0.004048688293462577,16.0
139,10598,714.0,10591.0,0.004106057090286219,18.0
140,10599,10316.0,4901.0,0.0041166647435342645,2.0
141,10600,6259.0,9320.0,0.004143226982204091,2.0
142,10601,9743.0,10600.0,0.004193428321678383,3.0
143,10602,8617.0,10593.0,0.004196776974300724,3.0
144,10603,775.0,10597.0,0.004200881780136224,17.0
145,10604,4595.0,10589.0,0.0042200110322331225,13.0
146,10605,3324.0,10598.0,0.004245232882072132,19.0
147,10606,10103.0,10590.0,0.004306963444404153,11.0
148,10607,8663.0,10584.0,0.004308244808592583,23.0
149,10608,688.0,10594.0,0.004338329690588086,6.0
150,10609,6224.0,10599.0,0.004373079713173152,3.0
151,10610,9135.0,10582.0,0.0044153042748473065,4.0
152,10611,9816.0,10610.0,0.004431458185684717,5.0
153,10612,8891.0,10611.0,0.004431458185684717,6.0
154,10613,4065.0,10527.0,0.004447243740592258,7.0
155,10614,3263.0,10607.0,0.00445658314140071,24.0
156,10615,917.0,10603.0,0.00451729225528074,18.0
157,10616,10403.0,10614.0,0.004525801211636245,25.0
158,10617,6652.0,10606.0,0.004526996551271941,12.0
159,10618,8854.0,10602.0,0.004564786821482815,4.0
160,10619,2200.0,10618.0,0.004564786821482815,5.0
161,10620,4339.0,10578.0,0.004579383397649823,7.0
162,10621,6858.0,10592.0,0.004590851291799347,3.0
163,10622,3729.0,10616.0,0.004622919501656431,26.0
164,10623,3696.0,10609.0,0.004647881753338768,4.0
165,10624,1628.0,10623.0,0.004647881753338768,5.0
166,10625,7212.0,10612.0,0.0047143115705428175,7.0
167,10626,4060.0,10621.0,0.004735338957374751,4.0
168,10627,8656.0,10601.0,0.004776028612663173,4.0
169,10628,10351.0,10627.0,0.004776028612663173,5.0
170,10629,1753.0,10604.0,0.0048029937289302,14.0
171,10630,5111.0,10624.0,0.004919648758300967,6.0
172,10631,1756.0,10629.0,0.004930348758410472,15.0
173,10632,4799.0,10622.0,0.0050807064321289975,27.0
174,10633,9393.0,10608.0,0.005081860576651742,7.0
175,10634,3391.0,10617.0,0.005127292048689751,13.0
176,10635,234.0,10634.0,0.005127292048689751,14.0
177,10636,4773.0,10630.0,0.005128685025945025,7.0
178,10637,6136.0,10628.0,0.005167681513473246,6.0
179,10638,7274.0,10631.0,0.005186275175672195,16.0
180,10639,5314.0,10513.0,0.005278216239546727,20.0
181,10640,944.0,10635.0,0.005309978178251567,15.0
182,10641,9044.0,10638.0,0.005348526643843739,17.0
183,10642,7214.0,10620.0,0.005360631369216911,8.0
184,10643,8077.0,10626.0,0.005377697107004026,5.0
185,10644,3511.0,10643.0,0.005377697107004026,6.0
186,10645,3195.0,10605.0,0.005434515204901307,20.0
187,10646,293.0,10640.0,0.005438941747817021,16.0
188,10647,5598.0,485.0,0.005498777690140412,2.0
189,10648,8863.0,10632.0,0.005535208134919542,28.0
190,10649,6213.0,10633.0,0.005565051889926496,8.0
191,10650,9293.0,10648.0,0.005694341108311447,29.0
192,10651,5173.0,10650.0,0.0057134647398004446,30.0
193,10652,259.0,10619.0,0.005728372652447267,6.0
194,10653,996.0,10586.0,0.005731242458575518,6.0
195,10654,4731.0,10559.0,0.005745866229384865,9.0
196,10655,1478.0,10625.0,0.005766116894921997,8.0
197,10656,408.0,10647.0,0.005840450795895373,3.0
198,10657,5950.0,10656.0,0.005840450795895373,4.0
199,10658,3986.0,10613.0,0.005888597931237867,8.0
200,10659,7978.0,10644.0,0.005905238867545474,7.0
201,10660,8293.0,10651.0,0.005950933389171946,31.0
202,10661,830.0,10657.0,0.005951763153277334,5.0
203,10662,1987.0,10646.0,0.0060194406086864875,17.0
204,10663,432.0,10642.0,0.006038084249906929,9.0
205,10664,8952.0,10655.0,0.006062449065227889,9.0
206,10665,6977.0,10615.0,0.0061026999973564505,19.0
207,10666,4730.0,10661.0,0.006124752266390469,6.0
208,10667,8590.0,10653.0,0.006139393147999197,7.0
209,10668,9341.0,10636.0,0.006166672798734211,8.0
210,10669,5795.0,10668.0,0.006187867836082276,9.0
211,10670,6293.0,10652.0,0.006262244795268651,7.0
212,10671,2683.0,10662.0,0.006293955275811216,18.0
213,10672,3204.0,10649.0,0.006297095714126191,9.0
214,10673,2755.0,10671.0,0.006346138460495753,19.0
215,10674,6600.0,5260.0,0.006371381288514654,2.0
216,10675,5123.0,10672.0,0.006391522920654578,10.0
217,10676,6990.0,10637.0,0.006502676877117644,7.0
218,10677,1688.0,10673.0,0.006542025152109578,20.0
219,10678,2226.0,10666.0,0.00667942673101591,7.0
220,10679,9484.0,10664.0,0.006851860403950475,10.0
221,10680,3633.0,10669.0,0.006885576594731253,10.0
222,10681,539.0,10639.0,0.006986823506579814,21.0
223,10682,2502.0,10678.0,0.006989728116668818,8.0
224,10683,3219.0,10660.0,0.007012788756545688,32.0
225,10684,3859.0,10596.0,0.007078902569861032,7.0
226,10685,3086.0,10675.0,0.007176414961814061,11.0
227,10686,6409.0,10681.0,0.0072915797547664415,22.0
228,10687,9563.0,10670.0,0.007325470976897481,8.0
229,10688,4985.0,10685.0,0.007325612884820577,12.0
230,10689,8627.0,10688.0,0.007325612884820577,13.0
231,10690,7176.0,10674.0,0.0074130057300929005,3.0
232,10691,555.0,10690.0,0.0074130057300929005,4.0
233,10692,3336.0,10689.0,0.007479617353222991,14.0
234,10693,9419.0,10691.0,0.007480962909388505,5.0
235,10694,5328.0,10693.0,0.007480962909388505,6.0
236,10695,9006.0,10641.0,0.007540945139305631,18.0
237,10696,1884.0,10677.0,0.007547314491511622,21.0
238,10697,4564.0,10654.0,0.007547490488091037,10.0
239,10698,3531.0,10692.0,0.007555477865185398,15.0
240,10699,3824.0,10667.0,0.0075557191992332035,8.0
241,10700,10698.0,10699.0,0.007557539842459034,23.0
242,10701,6210.0,10665.0,0.007735592128934571,20.0
243,10702,9905.0,10663.0,0.007769024950400701,10.0
244,10703,671.0,9378.0,0.007839973686195838,2.0
245,10704,3066.0,10683.0,0.007914395140767123,33.0
246,10705,6054.0,10701.0,0.007957627196737276,21.0
247,10706,8196.0,5148.0,0.008039506064269798,2.0
248,10707,5937.0,10696.0,0.008052940802091964,22.0
249,10708,9308.0,10704.0,0.008113736101023032,34.0
250,10709,7042.0,3923.0,0.008127611198506223,2.0
251,10710,5018.0,10703.0,0.008185130488455126,3.0
252,10711,8603.0,10312.0,0.008197838928337413,2.0
253,10712,3791.0,3586.0,0.00819985510561989,2.0
254,10713,8558.0,10708.0,0.008360960035086231,35.0
255,10714,4796.0,10700.0,0.008384375483307541,24.0
256,10715,1586.0,10680.0,0.008417216025956934,11.0
257,10716,7084.0,3718.0,0.008458618273949831,2.0
258,10717,3111.0,10658.0,0.008460157095015412,9.0
259,10718,3515.0,10712.0,0.008476550705242362,3.0
260,10719,4002.0,10718.0,0.008496213459434222,4.0
261,10720,3842.0,10711.0,0.008597711844345105,3.0
262,10721,745.0,10716.0,0.008610997672730495,3.0
263,10722,3476.0,10714.0,0.008654734778513236,25.0
264,10723,3588.0,10719.0,0.008677250416472375,5.0
265,10724,5743.0,10706.0,0.00868521521238741,3.0
266,10725,7535.0,10707.0,0.008780242019281933,23.0
267,10726,4937.0,10720.0,0.008872063355721972,4.0
268,10727,367.0,10724.0,0.008941060732740832,4.0
269,10728,4922.0,10713.0,0.009023612358272991,36.0
270,10729,9261.0,10709.0,0.00904440130678053,3.0
271,10730,4054.0,10721.0,0.00907094980340416,4.0
272,10731,7711.0,10722.0,0.009099528554900848,26.0
273,10732,679.0,10687.0,0.009172022568696207,9.0
274,10733,6021.0,10659.0,0.009203992699511367,8.0
275,10734,2914.0,10733.0,0.009318953326830174,9.0
276,10735,8634.0,10730.0,0.009322356812978393,5.0
277,10736,680.0,10735.0,0.009322356812978393,6.0
278,10737,3785.0,10645.0,0.009439393146025795,21.0
279,10738,9734.0,10726.0,0.009490622108617794,5.0
280,10739,3913.0,10710.0,0.009683006935611147,4.0
281,10740,5168.0,10676.0,0.009993868636365871,8.0
282,10741,4047.0,10723.0,0.010179037317138626,6.0
283,10742,10245.0,10729.0,0.010257951026213647,4.0
284,10743,3686.0,10731.0,0.010338946544740199,27.0
285,10744,3172.0,10739.0,0.01034255841453318,5.0
286,10745,824.0,10741.0,0.010351014102869418,7.0
287,10746,5104.0,10738.0,0.010357413546536225,6.0
288,10747,3520.0,10717.0,0.010399304763810954,10.0
289,10748,1658.0,10727.0,0.010648401107787971,5.0
290,10749,7385.0,10748.0,0.010648401107787971,6.0
291,10750,5775.0,10682.0,0.010652835981914079,9.0
292,10751,1908.0,10679.0,0.01067885054752283,11.0
293,10752,3707.0,10705.0,0.010696046611463558,22.0
294,10753,9617.0,10734.0,0.010704106846864242,10.0
295,10754,7072.0,10744.0,0.010741856631978056,6.0
296,10755,5479.0,10754.0,0.010741856631978056,7.0
297,10756,916.0,10742.0,0.010859058263130203,5.0
298,10757,3607.0,10756.0,0.011299552922668639,6.0
299,10758,986.0,10757.0,0.01136958020589398,7.0
300,10759,10758.0,4920.0,0.01136958020589398,8.0
301,10760,4772.0,10743.0,0.011444426313118814,28.0
302,10761,7306.0,10686.0,0.011534115533329597,23.0
303,10762,6850.0,7076.0,0.011676742229370882,2.0
304,10763,10292.0,10695.0,0.011706269384352942,19.0
305,10764,7020.0,10760.0,0.011764372571121185,29.0
306,10765,500.0,10732.0,0.012048696903571458,10.0
307,10766,4450.0,10715.0,0.012097383233824414,12.0
308,10767,1479.0,469.0,0.012231996542287597,2.0
309,10768,521.0,1812.0,0.012244404191957001,2.0
310,10769,972.0,10736.0,0.012389847503014065,7.0
311,10770,7599.0,10694.0,0.012447955803677859,7.0
312,10771,4106.0,10762.0,0.012452445496202003,3.0
313,10772,3513.0,10764.0,0.012697674973913756,30.0
314,10773,3942.0,10745.0,0.012701974940174363,8.0
315,10774,3593.0,10771.0,0.012717415539342193,4.0
316,10775,3970.0,10773.0,0.012742202998290814,9.0
317,10776,3640.0,10774.0,0.012820924207319988,5.0
318,10777,4285.0,10767.0,0.012831778740392359,3.0
319,10778,10442.0,10750.0,0.012883435787040577,10.0
320,10779,3318.0,10725.0,0.013084828290894895,24.0
321,10780,1765.0,10697.0,0.013187166129833916,11.0
322,10781,250.0,10763.0,0.013205586111857955,20.0
323,10782,693.0,10753.0,0.01328522861809715,11.0
324,10783,6255.0,5484.0,0.013323925925411071,2.0
325,10784,1543.0,10777.0,0.013434905777369529,4.0
326,10785,4064.0,10759.0,0.013468962576511962,9.0
327,10786,1729.0,10768.0,0.013576658731193618,3.0
328,10787,9238.0,10776.0,0.013744772260000532,6.0
329,10788,743.0,10783.0,0.013783832358955899,3.0
330,10789,8313.0,10755.0,0.013968477161568614,8.0
331,10790,994.0,10772.0,0.014101554877093844,31.0
332,10791,10434.0,10785.0,0.014103654886215513,10.0
333,10792,4357.0,1831.0,0.01412824113815232,2.0
334,10793,4801.0,10752.0,0.014175850664767167,23.0
335,10794,8135.0,10788.0,0.014185815171747657,4.0
336,10795,7805.0,10793.0,0.01424201321677646,24.0
337,10796,10430.0,10795.0,0.014396589499883504,25.0
338,10797,2737.0,10786.0,0.014403272289014904,4.0
339,10798,2938.0,10782.0,0.014428248212546443,12.0
340,10799,4614.0,1578.0,0.014516911020340304,2.0
341,10800,6252.0,6890.0,0.014644630241668483,2.0
342,10801,6303.0,10790.0,0.01469104229321231,32.0
343,10802,633.0,10796.0,0.014710724679223793,26.0
344,10803,3502.0,10802.0,0.014710724679223793,27.0
345,10804,412.0,10781.0,0.014759573501845605,21.0
346,10805,4942.0,10791.0,0.014781493657165513,11.0
347,10806,2871.0,10775.0,0.014807464191804929,10.0
348,10807,8789.0,10803.0,0.014887784286547431,28.0
349,10808,3894.0,10807.0,0.014887784286547431,29.0
350,10809,2592.0,1871.0,0.01494166129402778,2.0
351,10810,2972.0,10806.0,0.014951839437153806,11.0
352,10811,7032.0,10746.0,0.015024625056427893,7.0
353,10812,4405.0,2100.0,0.015109742935790756,2.0
354,10813,2739.0,10761.0,0.015199024371632067,24.0
355,10814,380.0,10804.0,0.015315162533132993,22.0
356,10815,4574.0,10809.0,0.01534118604293597,3.0
357,10816,10044.0,10792.0,0.015438925110233594,3.0
358,10817,800.0,10805.0,0.01554043074686735,12.0
359,10818,1519.0,10799.0,0.01565061851960896,3.0
360,10819,8067.0,10787.0,0.01566766694121103,7.0
361,10820,2735.0,10812.0,0.015686217109172246,3.0
362,10821,1001.0,10817.0,0.0157366697532545,13.0
363,10822,3026.0,10810.0,0.015807037628201206,12.0
364,10823,5772.0,8729.0,0.015864248361000102,2.0
365,10824,6957.0,10769.0,0.015868052618465023,8.0
366,10825,3994.0,10820.0,0.016034145028490793,4.0
367,10826,4939.0,10822.0,0.01611525224204517,13.0
368,10827,5656.0,10825.0,0.016120205022436062,5.0
369,10828,2878.0,10827.0,0.016120205022436062,6.0
370,10829,3178.0,10737.0,0.016205434011596465,22.0
371,10830,8395.0,7112.0,0.016246321413284536,2.0
372,10831,6772.0,10819.0,0.016263572496026318,8.0
373,10832,453.0,10751.0,0.016269427675656922,12.0
374,10833,195.0,10794.0,0.016595449165991132,5.0
375,10834,8635.0,10728.0,0.016629840214421952,37.0
376,10835,2184.0,10816.0,0.016856066301679774,4.0
377,10836,3780.0,10821.0,0.016862286030835342,14.0
378,10837,4140.0,6608.0,0.016897464216316608,2.0
379,10838,1924.0,10815.0,0.017191781129900885,4.0
380,10839,9925.0,10838.0,0.017191781129900885,5.0
381,10840,10288.0,10770.0,0.01719805064380165,8.0
382,10841,3654.0,10826.0,0.01719878119290783,14.0
383,10842,47.0,10522.0,0.01728212389657806,11.0
384,10843,4926.0,10808.0,0.01728258385113388,30.0
385,10844,10843.0,10800.0,0.01728258385113388,32.0
386,10845,7073.0,10824.0,0.017316123404820936,9.0
387,10846,10166.0,10833.0,0.017373511970126484,6.0
388,10847,3180.0,5487.0,0.017393086422985756,2.0
389,10848,9196.0,10684.0,0.017399801480076228,8.0
390,10849,6938.0,10798.0,0.017468704992993037,13.0
391,10850,10144.0,10844.0,0.017608234639586353,33.0
392,10851,9106.0,10832.0,0.01769294849905859,13.0
393,10852,6291.0,10829.0,0.017719110508971948,23.0
394,10853,10074.0,10749.0,0.017720495983247795,7.0
395,10854,4050.0,10850.0,0.017760293426308884,34.0
396,10855,8778.0,10839.0,0.01780219239498445,6.0
397,10856,4307.0,10818.0,0.017936553362628335,4.0
398,10857,2861.0,10840.0,0.017969053143952418,9.0
399,10858,8199.0,10823.0,0.018181858374041803,3.0
400,10859,9066.0,10856.0,0.0182075571200868,5.0
401,10860,7196.0,10859.0,0.0182075571200868,6.0
402,10861,5883.0,10797.0,0.018221882989659842,5.0
403,10862,850.0,10861.0,0.018221882989659842,6.0
404,10863,3889.0,10854.0,0.018238715854903827,35.0
405,10864,3673.0,10814.0,0.018260130055250963,23.0
406,10865,10238.0,10849.0,0.018318744956290513,14.0
407,10866,5618.0,10830.0,0.01837082379526278,3.0
408,10867,5861.0,10784.0,0.018377445568813308,5.0
409,10868,1996.0,10867.0,0.018377445568813308,6.0
410,10869,8322.0,10847.0,0.01842517117969044,3.0
411,10870,3844.0,10863.0,0.0184659229456636,36.0
412,10871,1229.0,1381.0,0.01849013934507752,2.0
413,10872,8961.0,10858.0,0.01863585364975438,4.0
414,10873,1553.0,10851.0,0.01867868211190097,14.0
415,10874,7733.0,10836.0,0.01887540208246849,15.0
416,10875,3649.0,10870.0,0.0188765212112902,37.0
417,10876,10367.0,10871.0,0.019017613030366372,3.0
418,10877,8366.0,10857.0,0.019078724100249907,10.0
419,10878,5342.0,10876.0,0.019133006728250405,4.0
