,child,parent,lambda_val,child_size,x,y,z
10759,10446,11320,11.960392132669078,1,6.514040946960449,2.986090421676636,-1.7643887996673584
10760,1203,11323,11.537145558763301,1,21.606735229492188,-0.4375873804092407,-0.8616046905517578
10761,8703,11342,10.33986645291057,1,6.083773136138916,-5.571035385131837,3.16517424583435
10762,7075,11343,9.530205192805134,1,6.019557952880859,-5.57840633392334,2.645804643630981
10763,6768,11287,15.975523520659873,1,5.227020263671875,-5.554550647735596,2.9973375797271733
10764,5607,11293,18.395878332595558,1,10.004634857177734,-4.3441081047058105,6.0825514793396
10765,9991,11339,16.204088344403676,1,9.574447631835936,-5.019301414489745,5.808801174163817
10766,3465,11332,23.64188438458846,1,10.0112247467041,-4.139590740203857,-6.804286003112792
10767,3567,11345,9.507350272082153,1,7.538629055023193,-4.244283676147461,-6.484864234924316
10768,5500,11336,9.85875581500247,1,7.439487457275391,-3.811322450637817,-6.483078479766846
10769,10382,11340,12.162945440893854,1,7.42003345489502,-3.519863605499268,-6.383011341094972
10770,10271,11341,15.363622511847515,1,7.222633361816406,-3.596778154373169,-6.236088275909425
10771,12,11320,12.27629407437202,1,6.543063163757323,2.892942190170288,-1.6784980297088623
10772,6066,11323,11.542555319744183,1,21.335901260375973,-0.15335416793823242,-0.8535712957382202
10773,4147,11342,10.341305032352208,1,6.004894256591796,-5.696921825408936,3.2302873134613046
10774,9319,11343,9.619892772556707,1,5.921154022216796,-5.507601737976073,2.7183492183685303
10775,1547,11287,16.311568886783572,1,5.31525182723999,-5.470763206481934,2.9430360794067383
10776,4517,11293,18.601397043567538,1,10.003989219665527,-4.290888786315918,6.0936102867126465
10777,5660,11339,17.815190886690665,1,9.590299606323242,-5.070523262023926,5.708508968353272
10778,5186,11332,24.597364679775634,1,9.98070240020752,-4.149337768554688,-6.776672840118407
10779,801,11332,24.597364679775634,1,10.013132095336914,-4.161542415618896,-6.760401725769041
10780,10137,11332,24.597364679775634,1,10.007083892822264,-4.160170078277588,-6.772855281829834
10781,4104,11332,24.597364679775634,1,9.994584083557129,-4.17287540435791,-6.74657154083252
10782,1049,11332,24.597364679775634,1,9.996217727661135,-4.1593475341796875,-6.776375770568847
10783,9694,11345,9.704070486760264,1,7.233784198760985,-4.532091617584229,-6.408052444458009
10784,2824,11336,10.256453149851144,1,7.514906883239745,-3.878683328628541,-6.491016387939453
10785,3341,11340,12.280942491204208,1,7.444301605224609,-3.5142886638641357,-6.37906837463379
10786,3099,11341,17.755882754062778,1,7.231625080108642,-3.6678848266601567,-6.240395545959473
10787,6010,11341,17.755882754062778,1,7.210393428802489,-3.6200115680694576,-6.220438480377196
10788,3685,11341,17.755882754062778,1,7.213937282562254,-3.660558223724365,-6.226442813873291
10789,8817,11341,17.755882754062778,1,7.233281135559082,-3.612058162689209,-6.23314905166626
10790,8098,11341,17.755882754062778,1,7.22010326385498,-3.6445167064666744,-6.223465442657471
10791,2110,11320,12.27629407437202,1,6.621260166168213,2.914505958557129,-1.6859550476074217
10792,1353,11323,11.564215672585496,1,21.49533462524414,-0.22654446959495544,-0.9518649578094482
10793,3944,11342,10.341305032352208,1,5.983808040618896,-5.627861976623535,3.165968418121338
10794,9445,11343,9.674872218154762,1,5.827038764953612,-5.690162181854248,2.658157587051392
10795,4716,11287,17.0249519078515,1,5.315629005432129,-5.60401153564453,2.8906459808349605
10796,7366,11293,18.601397043567538,1,10.014965057373047,-4.343488216400146,6.0919060707092285
10797,1993,11293,18.601397043567538,1,9.960758209228516,-4.311399459838867,6.0997276306152335
10798,7934,11293,18.601397043567538,1,9.99175548553467,-4.333288192749024,6.113520622253417
10799,9947,11293,18.601397043567538,1,9.966588020324709,-4.339929580688477,6.093479633331299
10800,5385,11293,18.601397043567538,1,9.985181808471678,-4.329335689544678,6.08846139907837
10801,6500,11339,19.108204967796254,1,9.618242263793944,-5.018448352813721,5.728938102722169
10802,9710,11345,9.748087817379417,1,7.233991146087648,-4.545650005340576,-6.3469786643981925
10803,3134,11336,10.256453149851144,1,7.481863498687744,-3.8572030067443848,-6.401837348937988
10804,6269,11340,13.540299679451492,1,7.516822338104248,-3.5854451656341557,-6.434940814971925
10805,2895,11320,12.941751885070257,1,6.644428253173827,2.997141361236572,-1.6948390007019043
10806,1458,11323,11.618358051853383,1,21.26304626464844,-0.3398210406303406,-0.6256624460220337
10807,5706,11342,10.502778832687268,1,6.17571210861206,-5.62244176864624,3.0761322975158687
10808,11346,11343,9.722662414928314,7,6.001029763902936,-5.694074971335275,2.690678698675973
10809,11347,11343,9.722662414928314,6,5.933168331782023,-5.540294408798218,2.6543132861455283
10810,84,11287,17.992483047031424,1,5.363837718963623,-5.545798301696777,2.977575302124024
10811,6374,11339,20.163675856240364,1,9.52976417541504,-5.059523582458496,5.784285545349121
10812,10170,11345,9.763807355954834,1,7.097086429595947,-4.461755752563477,-6.3778390884399405
10813,4734,11336,10.492261175486924,1,7.321054458618163,-3.9524121284484863,-6.405808448791503
10814,4020,11340,13.676505181710391,1,7.421808242797852,-3.6885035037994385,-6.374447345733643
10815,4803,11320,14.398408337792093,1,6.5721564292907715,2.978872060775757,-1.7270513772964478
10816,1263,11323,11.627531492260887,1,21.127729415893555,-0.09401053935289383,-0.7293674945831299
10817,1711,11342,10.76442430439933,1,6.082185745239257,-5.603343486785888,3.045026302337646
10818,2187,11346,9.8453685738706,1,5.899188995361329,-5.711662769317625,2.7113142013549805
10819,8978,11347,10.19846130600161,1,5.962044715881348,-5.584319591522217,2.628259897232056
10820,9125,11287,18.50910824092076,1,5.350296974182129,-5.574936389923097,2.9710221290588374
10821,6065,11339,20.163675856240364,1,9.501635551452635,-5.018771648406982,5.781521797180175
10822,5482,11345,9.921680641827722,1,7.497322559356691,-4.593076705932617,-6.426325321197509
10823,3049,11336,10.520308879466652,1,7.5013155937194815,-3.9373700618743905,-6.535794734954834
10824,3875,11340,15.065710370717358,1,7.410611629486085,-3.576719522476196,-6.353657722473144
10825,7561,11320,14.606021988170303,1,6.588916301727294,3.037956953048706,-1.729811191558838
10826,2308,11320,14.606021988170303,1,6.624698162078858,3.0411477088928223,-1.7341123819351196
10827,2511,11320,14.606021988170303,1,6.5887722969055185,2.9956648349761954,-1.7281386852264402
10828,4265,11320,14.606021988170303,1,6.595770835876465,2.964389324188232,-1.7155431509017947
10829,5274,11320,14.606021988170303,1,6.588110923767091,2.929174184799194,-1.6944546699523921
10830,10270,11323,11.639161440092078,1,21.169528961181637,-0.33028092980384827,-0.7799063324928283
10831,8688,11342,10.777376795860885,1,5.965570926666261,-5.652128219604492,3.2419717311859126
10832,5236,11346,9.8453685738706,1,5.994350910186768,-5.682619094848633,2.7317411899566646
10833,8257,11347,10.19846130600161,1,5.920351028442383,-5.4955716133117685,2.6284053325653085
10834,3748,11347,10.19846130600161,1,5.905630111694336,-5.522250175476073,2.7085106372833248
10835,5995,11347,10.19846130600161,1,5.969294548034667,-5.529687881469728,2.6278891563415527
10836,3126,11347,10.19846130600161,1,5.92313814163208,-5.581680774688721,2.6958470344543457
10837,7939,11347,10.19846130600161,1,5.918551445007324,-5.528256416320801,2.636967658996582
10838,10114,11287,18.552999237572223,1,5.325163841247559,-5.541563034057616,3.014878988265991
10839,10117,11339,20.69718751107755,1,9.577656745910643,-5.0539894104003915,5.705781459808349
10840,6795,11345,10.239719588544894,1,7.22427225112915,-4.683525085449219,-6.56873083114624
10841,3060,11336,11.219089447530857,1,7.351357460021971,-4.000387191772461,-6.5096259117126465
10842,7951,11340,15.130373634706357,1,7.520524501800538,-3.586014270782471,-6.3927836418151855
10843,6199,11323,11.639161440092078,1,21.248619079589844,-0.3340040147304535,-0.746550738811493
